epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6373,1.4486,1.95358,1.56207,0.45488,0.40599,0.38473,0.1581,1.99887,2.09128,2.23849,0.000655172,0.000655172,0.000655172
2,57.4642,1.58751,1.62968,1.66563,0.08061,0.41422,0.05203,0.01594,2.53048,58.8295,4.85705,0.00130439,0.00130439,0.00130439
3,83.3105,1.68002,1.75084,1.75894,0.07277,0.10752,0.02829,0.00852,2.5184,12.7188,3.16396,0.00193601,0.00193601,0.00193601
4,107.818,1.64672,1.75357,1.74667,0.16082,0.22268,0.09661,0.02812,2.40364,5.62235,3.20086,0.0019208,0.0019208,0.0019208
5,133.282,1.59587,1.65922,1.70658,0.5503,0.51478,0.51443,0.23332,1.72723,1.75695,1.91714,0.0018944,0.0018944,0.0018944
6,158.406,1.55725,1.58715,1.66293,0.5271,0.42437,0.43413,0.19147,1.85738,1.88543,2.11481,0.001868,0.001868,0.001868
7,183.259,1.53549,1.53679,1.65291,0.60352,0.54734,0.57686,0.27998,1.6254,1.4866,1.7398,0.0018416,0.0018416,0.0018416
8,207.578,1.49783,1.46016,1.61117,0.69568,0.604,0.66577,0.34689,1.50767,1.27576,1.69098,0.0018152,0.0018152,0.0018152
9,232.251,1.45277,1.40838,1.57389,0.69538,0.59929,0.66483,0.34515,1.56107,1.31724,1.69434,0.0017888,0.0017888,0.0017888
10,256.856,1.43389,1.37398,1.56363,0.72105,0.63028,0.70833,0.37387,1.48039,1.26099,1.63363,0.0017624,0.0017624,0.0017624
11,281.924,1.41959,1.34483,1.5607,0.68061,0.60752,0.6544,0.31791,1.6145,1.31498,1.72771,0.001736,0.001736,0.001736
12,305.711,1.39105,1.31076,1.53708,0.75536,0.65629,0.73587,0.40325,1.47267,1.11026,1.65053,0.0017096,0.0017096,0.0017096
13,329.971,1.3706,1.28584,1.52349,0.75953,0.68449,0.75205,0.4143,1.44643,1.06795,1.59484,0.0016832,0.0016832,0.0016832
