epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,361.31,1.08309,1.7124,1.33107,0.67372,0.69438,0.70416,0.42982,1.34336,1.1146,1.65586,0.00998804,0.00332935,0.00998804,0.00332935,0.00998804,0.00332935,0.00998804,0.00332935
2,677.004,1.00412,1.39665,1.27474,0.54225,0.55252,0.54691,0.29386,1.62515,1.82338,1.9599,0.0199089,0.0066363,0.0199089,0.0066363,0.0199089,0.0066363,0.0199089,0.0066363
3,989.288,1.08364,1.56284,1.33705,0.48202,0.44852,0.42171,0.23168,1.67937,1.92717,2.07858,0.0297505,0.00991684,0.0297505,0.00991684,0.0297505,0.00991684,0.0297505,0.00991684
4,1280.91,1.06608,1.54688,1.33218,0.61926,0.53705,0.57771,0.32182,1.52438,1.56261,1.84957,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
5,1562.82,1.00797,1.43305,1.29289,0.61255,0.62998,0.64738,0.37604,1.45301,1.38948,1.79898,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
6,1844.87,0.95837,1.35097,1.26066,0.67673,0.65258,0.69021,0.41054,1.40732,1.28138,1.74475,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
7,2130.08,0.93229,1.29459,1.23898,0.67724,0.68792,0.71492,0.41981,1.3982,1.25023,1.70392,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
8,2417.44,0.90765,1.25016,1.22294,0.69653,0.70805,0.74108,0.44943,1.3645,1.09798,1.68357,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
9,2701.94,0.88989,1.20675,1.20963,0.72555,0.70397,0.74763,0.45355,1.33589,1.1057,1.66583,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
10,2993.51,0.86911,1.16625,1.1965,0.73872,0.73657,0.76606,0.471,1.33886,1.02817,1.66387,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
11,3286.98,0.85516,1.14821,1.18599,0.76154,0.73346,0.79176,0.49518,1.28917,1.02069,1.60234,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
12,3579.44,0.84074,1.11847,1.1786,0.76493,0.74366,0.80233,0.50405,1.28342,0.99014,1.60532,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
